"120326,257312,""Gráficos subactividades"",DATATYPE,teleSYGRIS_GRAFICOS_SUBACTIVIDADES_257312,252502,NULL,0";;
"120326,255012,d_aliados_totalizadores,""DATATYPE: Totalizadores Total Externos"",teleSYGRIS_D_ALIADOS_TOTALIZADORES_255012,252502,NULL,0";;
"120326,253740,""Responsables aliados"",""Listado Usuarios que entran en Aliados"",teleSYGRIS_RESPONSABLES_ALIADOS_253740,252502,NULL,0";;
"120326,298548,d_aliados_formulas_sys,""Datatype de los indicadores fórmula de Seguridad y Salud de aliados, incluye las fórmulas y los indicadores que no agregan en la drilldown de explotación de datos"",teleSYGRIS_D_ALIADOS_FORMULAS_SYS_298548,252502,NULL,0";;
"120326,298549,r_aliados_sys_formulas_indicadores,""Relaciona los indicadores de fórmula con los indicadores de los que está compuesta cada fórmula"",teleSYGRIS_R_ALIADOS_SYS_FORMULAS_INDICADO_298549,252502,NULL,0";;
"120326,287299,""d_aliados_relacion jurídicas sólo España"",""Listado jurídicas de España"",teleSYGRIS_D_ALIADOS_RELACION_JURIDICAS_SO_287299,252502,NULL,0";;
"120326,255043,""u_aliados_carga indicadores periodo anterior"",""Se carga con la QUERY=254947 (VALORES: Indicadores con valores del período anterior. )"",teleSYGRIS_U_ALIADOS_CARGA_INDICADORES_PER_255043,252502,NULL,0";;
"120326,255054,""u_rrhh_carga subactividades periodo anterior"",""Se carga con la QUERY=255048 (VALORES: Subactividades con valores del período anterior)"",teleSYGRIS_U_RRHH_CARGA_SUBACTIVIDADES_PER_255054,252502,NULL,0";;
"120326,252504,""u_aliados_carga indicadores"",""VALORES: Indicadores en los períodos Q2 y Q4"",teleSYGRIS_U_ALIADOS_CARGA_INDICADORES_252504,252502,NULL,0";;
"120326,252505,d_aliados_periodo,""DATATYPE: Períodos"",teleSYGRIS_D_ALIADOS_PERIODO_252505,252502,NULL,0";;
"120326,252506,d_aliados_Subtipo,""DATATYPE: Subtipo"",teleSYGRIS_D_ALIADOS_SUBTIPO_252506,252502,NULL,0";;
"120326,252508,d_aliados_indicadores,""Sólo lista indicadores, con totalizador y subtipo"",teleSYGRIS_D_ALIADOS_INDICADORES_252508,252502,NULL,0";;
"120326,255073,d_aliados_region,""DATATYPE: Regiones"",teleSYGRIS_D_ALIADOS_REGION_255073,252502,NULL,0";;
"120326,255646,""d_aliados_historico auditorias"",""Histórico indicadores auditorías (desde el 2016 hasta actualidad, va variando). A principios de año meter datos año anterior. "",teleSYGRIS_D_ALIADOS_HISTORICO_AUDITORIAS_255646,252502,NULL,0";;
"120326,255907,""d_aliados_indicadores de auditorias"",""Listado de indicadores de auditorias, por año, países y períodos (Q2 y Q4)"",teleSYGRIS_D_ALIADOS_INDICADORES_DE_AUDITO_255907,252502,NULL,0";;
"120326,255939,d_aliados_glosario,""Definición indicadores y subactividades"",teleSYGRIS_D_ALIADOS_GLOSARIO_255939,252502,NULL,0";;
"120326,255940,d_aliados_grupo,""DATATYPE: Indicadores y Subactividades"",teleSYGRIS_D_ALIADOS_GRUPO_255940,252502,NULL,0";;
"120326,255984,""u_aliados_carga indicadores auditorias"",""Se carga con la QUERY=256230 (Datos auditorías de ""Proceso Auditorías"")"",teleSYGRIS_U_ALIADOS_CARGA_INDICADORES_AUD_255984,252502,NULL,0";;
120326,280068,rrhh__DesgloseJurNombreAntiguo,,teleSYGRIS_RRHH__DESGLOSE_JUR_NOMBRE_ANTIG_280068,241617,NULL,0;;
120326,243483,r_rhh_gestion_cuestionarios,,teleSYGRIS_R_RHH_GESTION_CUESTIONARIOS_243483,241617,NULL,0;;
120326,241965,d_rhh_plantilla_externos,,teleSYGRIS_D_RHH_PLANTILLA_EXTERNOS_241965,241617,NULL,0;;
120326,244274,d_rhh_tipo_de_agregacion,,teleSYGRIS_D_RHH_TIPO_DE_AGREGACION_244274,241617,NULL,0;;
120326,252231,rhh_exportaciones,,teleSYGRIS_RHH_EXPORTACIONES_252231,241617,NULL,0;;
120326,278090,rrhh__desgloseETL,,teleSYGRIS_RRHH__DESGLOSE_ETL_278090,241617,NULL,0;;
120326,250210,u_rhh_carga_indicadores_MES,,teleSYGRIS_U_RHH_CARGA_INDICADORES_MES_250210,241617,NULL,0;;
120326,269211,rrhh_exportaciones_individuales,,teleSYGRIS_RRHH_EXPORTACIONES_INDIVIDUALES_269211,241617,NULL,0;;
120326,248231,Manual,,teleSYGRIS_MANUAL_248231,241617,NULL,0;;
120326,245940,d_rhh_area_indicadores,,teleSYGRIS_D_RHH_AREA_INDICADORES_245940,241617,248267,0;;
120326,245950,d_rhh_indicadores,,teleSYGRIS_D_RHH_INDICADORES_245950,241617,248268,0;;
