App_oid,Collection_oid,Field_id,Name,Datatype_id,Description,Required,Calculated,Formula,Translatable
120326,187307,4773,Periodo,500,,0,0,,0
120326,187307,5313,Instalación,493,,0,0,,0
"120326,187307,5185,Año,491,,0,1,""parent_field(""187189"", ""4698"")"",0"
"120326,187307,5186,País,490,,0,1,""parent_field(""187188"", ""4693"")"",0"
"120326,187307,4781,""Emisiones CO2eq Evitadas"",4,,0,1,[4780]*[4782]*1/1000000,0"
"120326,187307,4782,""Factor CO2 location"",4,,0,1,""get_field_from_value('187302', '4762 = '~[5186]~' AND 4761 = '~[5185]~'', null, '4764')"",0"
"120326,187309,4997,""Combustible en Flota de Vehículos"",516,""Informe sobre los datos de energía respecto al consumo de combustible de los vehículos de la flota. Consumo en vehículos, ya sean propiedad, renting o leasing, pero controlados por Telefónica. Estas flotas, cumplen actividades de logística, operaciones, mantenimiento, etc."",0,0,,0"
"120326,187309,4789,""Consumo combustible vehículos"",502,,0,0,,0"
120326,187309,4787,Sociedad,501,,0,0,,0
120326,187309,4786,Periodo,500,,0,0,,0
"120326,187309,4788,""Tipo Combustible Vehículos"",497,,0,0,,0"
"120326,187309,5190,Año,491,,0,1,""parent_field(""187189"", ""4698"")"",0"
"120326,187309,5191,País,490,,0,1,""parent_field(""187188"", ""4693"")"",0"
"120326,187309,5192,""País 2"",490,,0,1,""if ([5191] == 36, 36, if ([5191] == 20, 20, 39))"",0"
"120326,187309,7008,""Consumo Kwh"",4,,0,1,""get_field_from_value('189705', '7009 = '~[4788]~'', null, '5839')*[4789]"",0"
"120326,187309,5219,""% etanol en Gasolina"",4,,0,1,""if ([4788] == 1, get_field_from_value('187310', '4798 = '~[4788]~' AND 4797 = '~[5192]~' AND 4796 = '~[5190]~'', null, '4813'))"",0"
"120326,187309,5220,""factor etanol anidro"",4,,0,1,""get_field_from_value('187310', '4798 = '~[4788]~' AND 4797 = '~[5192]~' AND 4796 = '~[5190]~'', null, '4810')"",0"
"120326,187309,4790,""Emisiones CO2"",4,,0,1,""[4789]*get_field_from_value('187310', '4798 = '~[4788]~' AND 4797 = '~[5192]~' AND 4796 = '~[5190]~'', null, '4799')/1000000"",0"
"120326,187309,4791,""Emisiones CH4"",4,,0,1,""[4789]*get_field_from_value('187310', '4798 = '~[4788]~' AND 4797 = '~[5192]~' AND 4796 = '~[5190]~'', null, '4800')/1000000"",0"
"120326,187309,5303,""Anhydrous Ethanol (Biofuel) CO2"",4,,0,1,""if ([4788] == 1, ([4789]/(1-get_field_from_value('187310', '4798 = '~[4788]~' AND 4797 = '~[5192]~' AND 4796 = '~[5190]~'', null, '4813'))-[4789])*get_field_from_value('187310', '4798 = '~[4788]~' AND 4797 = '~[5192]~' AND 4796 = '~[5190]~'', null, '4810'))/1000000"",0"
"120326,187309,4792,""Emisiones N2O"",4,,0,1,""[4789]*get_field_from_value('187310', '4798 = '~[4788]~' AND 4797 = '~[5192]~' AND 4796 = '~[5190]~'', null, '4801')/1000000"",0"
